User	Video	Orientation	Slant	Label
0	5816	semi-radicalized	0.1	neutral
0	4178	semi-radicalized	0.97	harmful
0	4780	semi-radicalized	0.17	neutral
0	1650	semi-radicalized	0.18	neutral
0	2220	semi-radicalized	0.23	neutral
0	3346	semi-radicalized	0.02	neutral
0	2955	semi-radicalized	0.8	harmful
0	6385	semi-radicalized	0.14	neutral
0	4206	semi-radicalized	0.17	neutral
0	8723	semi-radicalized	0.86	harmful
0	3285	semi-radicalized	0.78	harmful
0	5378	semi-radicalized	0.19	neutral
0	6547	semi-radicalized	0.87	harmful
0	8922	semi-radicalized	0.92	harmful
0	5011	semi-radicalized	0.06	neutral
0	3531	semi-radicalized	0.17	neutral
0	3490	semi-radicalized	0.79	harmful
0	2886	semi-radicalized	0.87	harmful
0	7456	semi-radicalized	0.13	neutral
0	1899	semi-radicalized	0.84	harmful
0	7760	semi-radicalized	0.01	neutral
0	180	semi-radicalized	0.01	neutral
0	8661	semi-radicalized	0.22	neutral
0	4891	semi-radicalized	0.22	neutral
0	1904	semi-radicalized	0.83	harmful
0	4864	semi-radicalized	0.16	neutral
0	2844	semi-radicalized	0.25	neutral
0	6678	semi-radicalized	0.87	harmful
0	7265	semi-radicalized	0.07	neutral
0	8168	semi-radicalized	0.13	neutral
0	1998	semi-radicalized	0.76	harmful
0	9528	semi-radicalized	0.81	harmful
0	7501	semi-radicalized	0.03	neutral
0	3472	semi-radicalized	0.89	harmful
0	7982	semi-radicalized	0.03	neutral
0	3296	semi-radicalized	0.04	neutral
0	2464	semi-radicalized	0.78	harmful
0	7655	semi-radicalized	0.87	harmful
0	1008	semi-radicalized	0.93	harmful
0	456	semi-radicalized	0.99	harmful
0	6749	semi-radicalized	0.99	harmful
0	8937	semi-radicalized	0.22	neutral
0	468	semi-radicalized	0.2	neutral
0	7436	semi-radicalized	0.25	neutral
0	433	semi-radicalized	0.22	neutral
0	1059	semi-radicalized	1.0	harmful
0	8870	semi-radicalized	0.89	harmful
0	9714	semi-radicalized	0.05	neutral
0	148	semi-radicalized	0.12	neutral
0	5269	semi-radicalized	0.08	neutral
0	5381	semi-radicalized	0.84	harmful
0	859	semi-radicalized	0.84	harmful
0	6386	semi-radicalized	0.92	harmful
0	6686	semi-radicalized	0.82	harmful
0	5677	semi-radicalized	0.17	neutral
0	7909	semi-radicalized	0.21	neutral
0	6664	semi-radicalized	0.8	harmful
0	7858	semi-radicalized	0.93	harmful
0	7091	semi-radicalized	0.1	neutral
0	2628	semi-radicalized	0.08	neutral
0	5392	semi-radicalized	0.98	harmful
0	6827	semi-radicalized	0.03	neutral
0	4190	semi-radicalized	0.94	harmful
0	2209	semi-radicalized	0.77	harmful
0	2786	semi-radicalized	0.91	harmful
0	2087	semi-radicalized	0.16	neutral
0	6443	semi-radicalized	0.09	neutral
0	3865	semi-radicalized	0.8	harmful
0	8781	semi-radicalized	0.83	harmful
0	1647	semi-radicalized	0.21	neutral
0	715	semi-radicalized	0.83	harmful
0	8102	semi-radicalized	0.05	neutral
0	1522	semi-radicalized	0.96	harmful
0	3494	semi-radicalized	0.06	neutral
0	4398	semi-radicalized	0.83	harmful
0	1200	semi-radicalized	0.16	neutral
0	3155	semi-radicalized	0.94	harmful
0	2876	semi-radicalized	0.24	neutral
0	8273	semi-radicalized	0.92	harmful
0	9636	semi-radicalized	0.0	neutral
0	6253	semi-radicalized	0.0	neutral
0	6959	semi-radicalized	0.94	harmful
0	7261	semi-radicalized	0.88	harmful
0	6191	semi-radicalized	0.13	neutral
0	7301	semi-radicalized	0.81	harmful
0	4172	semi-radicalized	0.14	neutral
0	8437	semi-radicalized	0.18	neutral
0	6965	semi-radicalized	0.77	harmful
0	5437	semi-radicalized	0.13	neutral
1	264	semi-radicalized	0.99	harmful
1	1029	semi-radicalized	0.9	harmful
1	3052	semi-radicalized	0.97	harmful
1	3613	semi-radicalized	0.82	harmful
1	2952	semi-radicalized	0.96	harmful
1	2706	semi-radicalized	0.9	harmful
1	1791	semi-radicalized	0.79	harmful
1	4358	semi-radicalized	0.86	harmful
1	7175	semi-radicalized	0.82	harmful
1	7997	semi-radicalized	0.98	harmful
1	1609	semi-radicalized	0.9	harmful
1	6211	semi-radicalized	0.01	neutral
1	5882	semi-radicalized	0.83	harmful
1	7890	semi-radicalized	0.96	harmful
1	175	semi-radicalized	0.14	neutral
1	7957	semi-radicalized	0.85	harmful
1	1751	semi-radicalized	0.81	harmful
1	5279	semi-radicalized	0.82	harmful
1	4564	semi-radicalized	0.98	harmful
1	5445	semi-radicalized	0.81	harmful
1	9383	semi-radicalized	0.81	harmful
1	8712	semi-radicalized	1.0	harmful
1	9194	semi-radicalized	0.85	harmful
1	7988	semi-radicalized	0.81	harmful
1	2162	semi-radicalized	0.94	harmful
1	3993	semi-radicalized	0.91	harmful
1	6600	semi-radicalized	0.96	harmful
1	3553	semi-radicalized	0.92	harmful
1	6553	semi-radicalized	0.97	harmful
1	5766	semi-radicalized	0.18	neutral
1	8811	semi-radicalized	0.8	harmful
1	9346	semi-radicalized	0.9	harmful
1	4101	semi-radicalized	0.77	harmful
1	1837	semi-radicalized	1.0	harmful
1	8797	semi-radicalized	0.88	harmful
1	9927	semi-radicalized	0.79	harmful
1	8884	semi-radicalized	0.95	harmful
1	7181	semi-radicalized	0.84	harmful
1	1252	semi-radicalized	0.88	harmful
1	9772	semi-radicalized	0.78	harmful
1	1561	semi-radicalized	0.9	harmful
1	5440	semi-radicalized	0.88	harmful
1	7005	semi-radicalized	0.87	harmful
1	2560	semi-radicalized	0.79	harmful
1	9821	semi-radicalized	0.75	harmful
1	9186	semi-radicalized	0.77	harmful
1	7690	semi-radicalized	0.84	harmful
1	7220	semi-radicalized	0.95	harmful
1	7849	semi-radicalized	0.93	harmful
1	6135	semi-radicalized	0.84	harmful
1	1839	semi-radicalized	0.23	neutral
1	1943	semi-radicalized	0.81	harmful
1	9809	semi-radicalized	0.83	harmful
1	4545	semi-radicalized	0.82	harmful
1	7351	semi-radicalized	0.85	harmful
1	363	semi-radicalized	0.79	harmful
1	4916	semi-radicalized	0.84	harmful
1	2255	semi-radicalized	0.95	harmful
1	831	semi-radicalized	0.77	harmful
1	7214	semi-radicalized	0.96	harmful
1	8177	semi-radicalized	0.98	harmful
1	2951	semi-radicalized	0.76	harmful
1	5005	semi-radicalized	0.76	harmful
1	1040	semi-radicalized	0.14	neutral
1	8824	semi-radicalized	0.86	harmful
1	1934	semi-radicalized	0.81	harmful
1	3707	semi-radicalized	0.98	harmful
1	2535	semi-radicalized	0.1	neutral
1	9743	semi-radicalized	0.95	harmful
1	6891	semi-radicalized	0.79	harmful
1	7077	semi-radicalized	0.83	harmful
1	3046	semi-radicalized	0.9	harmful
1	5003	semi-radicalized	0.82	harmful
1	5858	semi-radicalized	0.77	harmful
1	3618	semi-radicalized	0.93	harmful
1	2856	semi-radicalized	0.83	harmful
1	782	semi-radicalized	0.91	harmful
1	5655	semi-radicalized	0.76	harmful
1	8175	semi-radicalized	0.92	harmful
1	1576	semi-radicalized	0.98	harmful
1	8530	semi-radicalized	0.91	harmful
1	1376	semi-radicalized	0.82	harmful
1	9969	semi-radicalized	0.23	neutral
1	6294	semi-radicalized	0.13	neutral
1	4361	semi-radicalized	0.13	neutral
1	9291	semi-radicalized	0.11	neutral
1	4307	semi-radicalized	0.18	neutral
1	1240	semi-radicalized	0.21	neutral
1	1191	semi-radicalized	0.18	neutral
1	4514	semi-radicalized	0.09	neutral
1	1133	semi-radicalized	0.24	neutral
1	4541	semi-radicalized	0.01	neutral
1	4915	semi-radicalized	0.2	neutral
1	7899	semi-radicalized	0.0	neutral
1	9460	semi-radicalized	0.12	neutral
1	681	semi-radicalized	0.06	neutral
2	1072	non radicalized	0.12	neutral
2	6331	non radicalized	0.06	neutral
2	7411	non radicalized	0.12	neutral
2	2985	non radicalized	0.17	neutral
2	5044	non radicalized	0.21	neutral
2	9175	non radicalized	0.25	neutral
2	1060	non radicalized	0.2	neutral
2	2098	non radicalized	0.18	neutral
2	4132	non radicalized	0.06	neutral
2	2556	non radicalized	0.25	neutral
2	2267	non radicalized	0.2	neutral
2	9617	non radicalized	0.19	neutral
2	7685	non radicalized	0.16	neutral
2	9847	non radicalized	0.02	neutral
2	6906	non radicalized	0.25	neutral
2	938	non radicalized	0.09	neutral
2	8270	non radicalized	0.1	neutral
