User	Video	Orientation	Slant	Label
0	549	non radicalized	0.18	neutral
0	7372	non radicalized	0.15	neutral
0	4151	non radicalized	0.01	neutral
0	6267	non radicalized	0.09	neutral
0	8161	non radicalized	0.09	neutral
0	7218	non radicalized	0.13	neutral
0	5123	non radicalized	0.25	neutral
0	1240	non radicalized	0.05	neutral
0	4421	non radicalized	0.13	neutral
0	9114	non radicalized	0.1	neutral
0	22	non radicalized	0.16	neutral
0	89	non radicalized	0.05	neutral
0	1393	non radicalized	0.08	neutral
0	5757	non radicalized	0.11	neutral
0	5270	non radicalized	0.24	neutral
0	6901	non radicalized	0.21	neutral
0	7692	non radicalized	0.15	neutral
0	9838	non radicalized	0.07	neutral
0	5380	non radicalized	0.24	neutral
0	669	non radicalized	0.0	neutral
0	5480	non radicalized	0.02	neutral
0	3540	non radicalized	0.07	neutral
0	9906	non radicalized	0.85	harmful
0	9454	non radicalized	0.17	neutral
0	7275	non radicalized	0.05	neutral
0	806	non radicalized	0.01	neutral
0	8756	non radicalized	0.25	neutral
0	3953	non radicalized	0.19	neutral
0	625	non radicalized	0.25	neutral
0	46	non radicalized	0.14	neutral
0	3132	non radicalized	0.15	neutral
0	9560	non radicalized	0.14	neutral
0	8300	non radicalized	0.19	neutral
0	7661	non radicalized	0.16	neutral
0	7337	non radicalized	0.04	neutral
0	315	non radicalized	0.03	neutral
0	243	non radicalized	0.06	neutral
0	6227	non radicalized	0.07	neutral
0	1571	non radicalized	0.07	neutral
0	2041	non radicalized	0.1	neutral
0	6197	non radicalized	0.15	neutral
0	6407	non radicalized	0.01	neutral
0	273	non radicalized	0.22	neutral
0	3976	non radicalized	0.13	neutral
0	1483	non radicalized	0.16	neutral
0	8486	non radicalized	0.11	neutral
0	334	non radicalized	0.03	neutral
0	3835	non radicalized	0.23	neutral
0	990	non radicalized	0.08	neutral
0	2914	non radicalized	0.24	neutral
0	447	non radicalized	0.13	neutral
0	9315	non radicalized	0.18	neutral
0	8998	non radicalized	0.12	neutral
0	6308	non radicalized	0.03	neutral
0	3593	non radicalized	0.08	neutral
0	6856	non radicalized	0.08	neutral
0	3102	non radicalized	0.07	neutral
0	472	non radicalized	0.11	neutral
0	2251	non radicalized	0.14	neutral
0	5025	non radicalized	0.15	neutral
0	1671	non radicalized	0.22	neutral
0	59	non radicalized	0.19	neutral
0	52	non radicalized	0.09	neutral
0	9867	non radicalized	0.03	neutral
0	6246	non radicalized	0.09	neutral
0	2984	non radicalized	0.0	neutral
0	1148	non radicalized	0.18	neutral
0	6632	non radicalized	0.21	neutral
0	2054	non radicalized	0.22	neutral
0	9509	non radicalized	0.16	neutral
0	2394	non radicalized	0.03	neutral
0	3926	non radicalized	0.12	neutral
0	544	non radicalized	0.22	neutral
0	8628	non radicalized	0.05	neutral
0	9729	non radicalized	0.23	neutral
0	7743	non radicalized	0.21	neutral
0	4237	non radicalized	0.09	neutral
0	4535	non radicalized	0.99	harmful
0	8691	non radicalized	0.21	neutral
0	3727	non radicalized	0.23	neutral
0	5122	non radicalized	0.15	neutral
0	4280	non radicalized	0.23	neutral
0	2326	non radicalized	0.24	neutral
0	6108	non radicalized	0.17	neutral
0	4542	non radicalized	0.07	neutral
0	326	non radicalized	0.8	harmful
0	1519	non radicalized	0.23	neutral
0	8987	non radicalized	0.07	neutral
1	7691	non radicalized	0.22	neutral
1	3199	non radicalized	0.01	neutral
1	7322	non radicalized	0.05	neutral
1	3224	non radicalized	0.03	neutral
1	4971	non radicalized	0.09	neutral
1	5866	non radicalized	0.13	neutral
1	1030	non radicalized	0.16	neutral
1	2149	non radicalized	0.12	neutral
1	9515	non radicalized	0.19	neutral
1	3622	non radicalized	0.12	neutral
1	6002	non radicalized	0.02	neutral
1	2001	non radicalized	0.04	neutral
1	1014	non radicalized	0.21	neutral
1	4868	non radicalized	0.04	neutral
1	207	non radicalized	0.24	neutral
1	9779	non radicalized	0.18	neutral
1	8213	non radicalized	0.15	neutral
1	9437	non radicalized	0.05	neutral
1	6048	non radicalized	0.2	neutral
1	7379	non radicalized	0.21	neutral
1	4541	non radicalized	0.23	neutral
1	9564	non radicalized	0.86	harmful
1	1827	non radicalized	0.1	neutral
1	6272	non radicalized	0.23	neutral
1	2789	non radicalized	0.06	neutral
1	4414	non radicalized	0.23	neutral
1	9852	non radicalized	0.11	neutral
1	205	non radicalized	0.02	neutral
1	1260	non radicalized	0.07	neutral
1	6367	non radicalized	0.13	neutral
1	7625	non radicalized	0.1	neutral
1	5304	non radicalized	0.01	neutral
1	5217	non radicalized	0.02	neutral
1	8816	non radicalized	0.13	neutral
1	6013	non radicalized	0.06	neutral
1	637	non radicalized	0.08	neutral
1	8359	non radicalized	0.02	neutral
1	654	non radicalized	0.2	neutral
1	8996	non radicalized	0.16	neutral
1	908	non radicalized	0.06	neutral
1	9474	non radicalized	0.2	neutral
1	2398	non radicalized	0.01	neutral
1	9118	non radicalized	0.02	neutral
1	3265	non radicalized	0.18	neutral
1	262	non radicalized	0.23	neutral
1	9061	non radicalized	0.09	neutral
1	988	non radicalized	0.13	neutral
1	818	non radicalized	0.05	neutral
1	4337	non radicalized	0.03	neutral
1	1343	non radicalized	0.06	neutral
1	446	non radicalized	0.1	neutral
1	3943	non radicalized	0.22	neutral
1	2605	non radicalized	0.09	neutral
1	9450	non radicalized	0.2	neutral
1	7592	non radicalized	0.05	neutral
1	5282	non radicalized	0.13	neutral
1	8470	non radicalized	0.19	neutral
1	3022	non radicalized	0.2	neutral
1	9015	non radicalized	0.15	neutral
1	2439	non radicalized	0.01	neutral
1	8629	non radicalized	0.08	neutral
1	7292	non radicalized	0.1	neutral
1	3063	non radicalized	0.01	neutral
1	3049	non radicalized	0.25	neutral
1	2340	non radicalized	0.05	neutral
1	6960	non radicalized	0.06	neutral
1	208	non radicalized	0.24	neutral
1	2162	non radicalized	0.01	neutral
1	8630	non radicalized	0.2	neutral
1	5312	non radicalized	0.01	neutral
1	6271	non radicalized	0.08	neutral
1	7130	non radicalized	0.07	neutral
1	8848	non radicalized	0.21	neutral
1	1082	non radicalized	0.1	neutral
1	4452	non radicalized	0.2	neutral
1	1523	non radicalized	0.06	neutral
1	1919	non radicalized	0.12	neutral
1	6279	non radicalized	0.06	neutral
1	1855	non radicalized	0.17	neutral
1	5808	non radicalized	0.2	neutral
1	7338	non radicalized	0.0	neutral
1	6241	non radicalized	0.15	neutral
1	4373	non radicalized	0.17	neutral
1	6565	non radicalized	0.24	neutral
1	5953	non radicalized	0.23	neutral
1	9096	non radicalized	0.15	neutral
1	4334	non radicalized	0.22	neutral
1	4622	non radicalized	0.02	neutral
2	2873	non radicalized	0.24	neutral
2	2782	non radicalized	0.22	neutral
2	5902	non radicalized	0.04	neutral
2	8005	non radicalized	0.12	neutral
2	8256	non radicalized	0.15	neutral
2	7910	non radicalized	0.11	neutral
2	2559	non radicalized	0.09	neutral
2	4400	non radicalized	0.19	neutral
2	9322	non radicalized	0.17	neutral
2	1863	non radicalized	0.25	neutral
2	4937	non radicalized	0.06	neutral
2	886	non radicalized	0.05	neutral
2	6902	non radicalized	0.03	neutral
2	4138	non radicalized	0.1	neutral
2	4442	non radicalized	0.03	neutral
2	9622	non radicalized	0.86	harmful
2	9652	non radicalized	0.22	neutral
2	5359	non radicalized	0.81	harmful
2	5715	non radicalized	0.24	neutral
2	2951	non radicalized	0.24	neutral
2	3804	non radicalized	0.19	neutral
2	258	non radicalized	0.17	neutral
2	2177	non radicalized	0.09	neutral
2	8733	non radicalized	0.0	neutral
2	6306	non radicalized	0.24	neutral
2	8038	non radicalized	0.24	neutral
2	1090	non radicalized	0.21	neutral
2	2819	non radicalized	0.21	neutral
2	8033	non radicalized	0.18	neutral
2	7168	non radicalized	0.21	neutral
2	4987	non radicalized	0.2	neutral
2	6520	non radicalized	0.19	neutral
2	4747	non radicalized	0.18	neutral
2	4916	non radicalized	0.17	neutral
2	1843	non radicalized	0.15	neutral
2	7956	non radicalized	0.03	neutral
2	7088	non radicalized	0.1	neutral
2	1810	non radicalized	0.11	neutral
2	5192	non radicalized	0.0	neutral
2	6575	non radicalized	0.13	neutral
2	5071	non radicalized	0.03	neutral
2	7684	non radicalized	0.86	harmful
2	146	non radicalized	0.24	neutral
2	4217	non radicalized	0.12	neutral
2	7541	non radicalized	0.12	neutral
2	1296	non radicalized	0.03	neutral
2	1776	non radicalized	0.12	neutral
2	8979	non radicalized	0.18	neutral
2	8312	non radicalized	0.07	neutral
2	2088	non radicalized	0.19	neutral
2	6734	non radicalized	0.19	neutral
2	3697	non radicalized	0.18	neutral
2	9762	non radicalized	0.89	harmful
2	7297	non radicalized	0.01	neutral
2	2481	non radicalized	0.23	neutral
2	5144	non radicalized	0.24	neutral
2	4736	non radicalized	0.1	neutral
2	6033	non radicalized	0.15	neutral
2	525	non radicalized	0.03	neutral
2	7468	non radicalized	0.06	neutral
2	6312	non radicalized	0.09	neutral
2	4644	non radicalized	0.16	neutral
2	7954	non radicalized	0.04	neutral
2	6267	non radicalized	0.09	neutral
2	7887	non radicalized	0.0	neutral
2	8275	non radicalized	0.14	neutral
2	2929	non radicalized	0.05	neutral
2	2455	non radicalized	0.04	neutral
2	6434	non radicalized	0.07	neutral
2	5672	non radicalized	0.14	neutral
2	7661	non radicalized	0.16	neutral
2	7170	non radicalized	0.0	neutral
2	8805	non radicalized	0.17	neutral
2	7099	non radicalized	0.16	neutral
2	9055	non radicalized	0.01	neutral
2	8228	non radicalized	0.18	neutral
2	9788	non radicalized	0.21	neutral
2	295	non radicalized	0.08	neutral
2	9495	non radicalized	0.25	neutral
2	6943	non radicalized	0.04	neutral
2	6529	non radicalized	0.0	neutral
2	8021	non radicalized	0.78	harmful
3	7363	radicalized	1.0	harmful
3	5833	radicalized	0.91	harmful
3	1127	radicalized	0.97	harmful
3	9410	radicalized	0.82	harmful
3	9996	radicalized	0.88	harmful
3	4468	radicalized	0.81	harmful
3	51	radicalized	0.82	harmful
3	432	radicalized	0.76	harmful
3	5661	radicalized	0.89	harmful
3	9026	radicalized	0.76	harmful
3	8653	radicalized	0.81	harmful
3	2514	radicalized	0.83	harmful
3	8762	radicalized	0.94	harmful
3	9636	radicalized	0.86	harmful
3	1126	radicalized	0.81	harmful
3	9974	radicalized	0.92	harmful
3	9653	radicalized	0.79	harmful
3	3495	radicalized	0.96	harmful
3	4439	radicalized	0.94	harmful
3	352	radicalized	0.78	harmful
3	6296	radicalized	0.9	harmful
3	923	radicalized	0.86	harmful
3	5222	radicalized	0.88	harmful
3	543	radicalized	0.95	harmful
3	1619	radicalized	0.93	harmful
3	5638	radicalized	0.84	harmful
3	9231	radicalized	0.98	harmful
3	5527	radicalized	0.95	harmful
3	2871	radicalized	1.0	harmful
3	8405	radicalized	0.84	harmful
3	9178	radicalized	0.93	harmful
3	4246	radicalized	0.94	harmful
3	5473	radicalized	0.95	harmful
3	1164	radicalized	0.81	harmful
3	9506	radicalized	0.97	harmful
3	7981	radicalized	0.77	harmful
3	3418	radicalized	0.87	harmful
3	1074	radicalized	0.81	harmful
3	2550	radicalized	0.88	harmful
3	3532	radicalized	0.91	harmful
3	6294	radicalized	0.88	harmful
3	6277	radicalized	0.84	harmful
3	1070	radicalized	0.98	harmful
3	1172	radicalized	0.83	harmful
3	5828	radicalized	0.92	harmful
3	2589	radicalized	0.82	harmful
3	72	radicalized	0.84	harmful
3	5517	radicalized	0.81	harmful
3	7028	radicalized	0.87	harmful
3	6620	radicalized	0.87	harmful
3	2397	radicalized	0.96	harmful
3	4031	radicalized	0.84	harmful
3	9438	radicalized	0.79	harmful
3	5130	radicalized	0.82	harmful
3	7531	radicalized	0.76	harmful
3	8951	radicalized	0.92	harmful
3	7298	radicalized	0.81	harmful
3	8918	radicalized	0.8	harmful
3	3679	radicalized	0.94	harmful
3	570	radicalized	0.99	harmful
3	2081	radicalized	0.91	harmful
3	7690	radicalized	0.99	harmful
3	6239	radicalized	0.88	harmful
3	1730	radicalized	0.83	harmful
3	3539	radicalized	0.92	harmful
3	3115	radicalized	0.97	harmful
3	1266	radicalized	0.92	harmful
3	2105	radicalized	0.9	harmful
3	5965	radicalized	0.76	harmful
3	1877	radicalized	0.94	harmful
3	1215	radicalized	1.0	harmful
3	4581	radicalized	0.96	harmful
3	4613	radicalized	0.85	harmful
3	6892	radicalized	0.1	neutral
3	2757	radicalized	0.96	harmful
3	67	radicalized	0.84	harmful
3	7427	radicalized	0.84	harmful
3	6302	radicalized	0.85	harmful
3	5009	radicalized	0.9	harmful
3	8270	radicalized	0.92	harmful
3	3568	radicalized	0.96	harmful
3	4515	radicalized	0.98	harmful
3	7709	radicalized	0.78	harmful
3	7138	radicalized	0.86	harmful
3	5231	radicalized	0.91	harmful
4	1062	radicalized	0.12	neutral
4	7210	radicalized	0.85	harmful
4	1276	radicalized	0.79	harmful
4	6600	radicalized	0.95	harmful
4	6079	radicalized	0.79	harmful
4	1259	radicalized	0.88	harmful
4	928	radicalized	0.79	harmful
4	3767	radicalized	0.99	harmful
4	2718	radicalized	0.93	harmful
4	3120	radicalized	0.78	harmful
4	1436	radicalized	0.8	harmful
4	2167	radicalized	0.9	harmful
4	7850	radicalized	0.97	harmful
4	6757	radicalized	0.89	harmful
4	2202	radicalized	0.75	harmful
4	871	radicalized	0.89	harmful
4	9583	radicalized	0.95	harmful
4	7784	radicalized	0.79	harmful
4	1238	radicalized	0.93	harmful
4	2475	radicalized	0.87	harmful
4	6792	radicalized	0.91	harmful
4	564	radicalized	0.82	harmful
4	7291	radicalized	0.81	harmful
4	3698	radicalized	0.96	harmful
4	5696	radicalized	0.2	neutral
4	3513	radicalized	0.99	harmful
4	8447	radicalized	0.97	harmful
4	6485	radicalized	0.78	harmful
4	2270	radicalized	0.91	harmful
4	2594	radicalized	0.79	harmful
4	9766	radicalized	0.94	harmful
4	6208	radicalized	0.89	harmful
4	6025	radicalized	0.75	harmful
4	5545	radicalized	0.85	harmful
4	1006	radicalized	0.99	harmful
4	7678	radicalized	0.76	harmful
4	2935	radicalized	0.92	harmful
4	7893	radicalized	0.78	harmful
4	5129	radicalized	0.88	harmful
4	104	radicalized	0.14	neutral
4	1888	radicalized	0.93	harmful
4	1186	radicalized	0.89	harmful
4	670	radicalized	0.9	harmful
4	3817	radicalized	0.93	harmful
4	3401	radicalized	0.81	harmful
4	1392	radicalized	0.97	harmful
4	5437	radicalized	0.89	harmful
4	432	radicalized	0.76	harmful
4	5033	radicalized	0.82	harmful
4	692	radicalized	0.13	neutral
4	5969	radicalized	0.79	harmful
4	469	radicalized	0.93	harmful
4	6868	radicalized	0.77	harmful
4	8362	radicalized	0.76	harmful
4	8145	radicalized	0.85	harmful
4	1669	radicalized	0.0	neutral
4	9837	radicalized	0.79	harmful
4	6896	radicalized	0.99	harmful
4	7925	radicalized	0.78	harmful
4	7627	radicalized	0.99	harmful
4	7566	radicalized	0.98	harmful
4	1163	radicalized	0.99	harmful
4	8247	radicalized	0.81	harmful
4	6934	radicalized	0.93	harmful
4	1498	radicalized	0.86	harmful
4	5863	radicalized	0.8	harmful
4	9404	radicalized	0.9	harmful
4	7854	radicalized	0.88	harmful
4	2830	radicalized	0.79	harmful
4	2231	radicalized	0.77	harmful
4	3529	radicalized	0.88	harmful
4	1274	radicalized	0.76	harmful
4	8020	radicalized	0.91	harmful
4	2363	radicalized	0.99	harmful
4	5448	radicalized	0.11	neutral
4	1152	radicalized	0.87	harmful
4	5698	radicalized	0.95	harmful
4	3431	radicalized	0.91	harmful
4	224	radicalized	0.9	harmful
4	2350	radicalized	0.87	harmful
4	8453	radicalized	0.9	harmful
4	5267	radicalized	0.11	neutral
4	5354	radicalized	0.91	harmful
4	3084	radicalized	0.89	harmful
4	9392	radicalized	0.89	harmful
4	8610	radicalized	0.92	harmful
4	7049	radicalized	0.92	harmful
4	5067	radicalized	0.94	harmful
4	7775	radicalized	1.0	harmful
4	679	radicalized	0.81	harmful
5	2689	semi-radicalized	0.05	neutral
5	2545	semi-radicalized	0.09	neutral
5	7903	semi-radicalized	0.03	neutral
5	8588	semi-radicalized	0.04	neutral
5	554	semi-radicalized	0.84	harmful
5	4413	semi-radicalized	0.06	neutral
