User	Video	Orientation	Slant	Label
0	9027	semi-radicalized	0.97	harmful
0	1241	semi-radicalized	0.11	neutral
0	4416	semi-radicalized	0.01	neutral
0	6094	semi-radicalized	0.2	neutral
0	1795	semi-radicalized	0.11	neutral
0	8252	semi-radicalized	0.03	neutral
0	6277	semi-radicalized	0.13	neutral
0	8547	semi-radicalized	0.16	neutral
0	3314	semi-radicalized	0.02	neutral
0	2438	semi-radicalized	0.2	neutral
0	70	semi-radicalized	0.04	neutral
0	4447	semi-radicalized	0.16	neutral
0	9044	semi-radicalized	0.77	harmful
0	7006	semi-radicalized	0.95	harmful
0	2028	semi-radicalized	0.19	neutral
0	5918	semi-radicalized	0.8	harmful
0	3833	semi-radicalized	0.12	neutral
0	1252	semi-radicalized	0.11	neutral
0	3071	semi-radicalized	0.11	neutral
0	9706	semi-radicalized	0.23	neutral
0	5863	semi-radicalized	0.06	neutral
0	2786	semi-radicalized	0.11	neutral
0	8753	semi-radicalized	0.04	neutral
0	7778	semi-radicalized	0.14	neutral
0	3825	semi-radicalized	0.11	neutral
0	5315	semi-radicalized	0.86	harmful
0	6593	semi-radicalized	0.11	neutral
0	5010	semi-radicalized	0.13	neutral
0	5755	semi-radicalized	0.09	neutral
0	1605	semi-radicalized	0.78	harmful
0	134	semi-radicalized	0.08	neutral
0	8930	semi-radicalized	0.92	harmful
0	8423	semi-radicalized	0.19	neutral
0	4324	semi-radicalized	0.23	neutral
0	4581	semi-radicalized	0.07	neutral
0	6867	semi-radicalized	0.11	neutral
0	2440	semi-radicalized	0.09	neutral
0	8333	semi-radicalized	0.79	harmful
0	4027	semi-radicalized	0.18	neutral
0	9100	semi-radicalized	0.85	harmful
0	8822	semi-radicalized	0.18	neutral
0	2318	semi-radicalized	0.96	harmful
0	1569	semi-radicalized	0.06	neutral
0	1635	semi-radicalized	0.2	neutral
0	6268	semi-radicalized	0.02	neutral
0	9644	semi-radicalized	0.21	neutral
0	711	semi-radicalized	0.92	harmful
0	7332	semi-radicalized	0.89	harmful
0	4110	semi-radicalized	0.93	harmful
0	9583	semi-radicalized	0.21	neutral
0	7821	semi-radicalized	0.88	harmful
0	2992	semi-radicalized	0.23	neutral
0	937	semi-radicalized	0.96	harmful
0	8455	semi-radicalized	0.08	neutral
0	7624	semi-radicalized	0.03	neutral
0	9075	semi-radicalized	0.93	harmful
0	1048	semi-radicalized	0.22	neutral
0	2290	semi-radicalized	0.9	harmful
0	9446	semi-radicalized	0.88	harmful
0	2547	semi-radicalized	0.25	neutral
0	1325	semi-radicalized	0.16	neutral
0	9548	semi-radicalized	0.07	neutral
0	3143	semi-radicalized	0.92	harmful
0	97	semi-radicalized	0.15	neutral
0	1843	semi-radicalized	0.75	harmful
0	5903	semi-radicalized	0.17	neutral
0	5730	semi-radicalized	0.02	neutral
0	5055	semi-radicalized	0.18	neutral
0	4000	semi-radicalized	0.15	neutral
0	8705	semi-radicalized	0.13	neutral
0	7857	semi-radicalized	0.07	neutral
0	3256	semi-radicalized	0.07	neutral
0	9788	semi-radicalized	0.04	neutral
0	6791	semi-radicalized	0.84	harmful
0	4007	semi-radicalized	0.77	harmful
0	6674	semi-radicalized	0.15	neutral
0	4276	semi-radicalized	0.13	neutral
0	5822	semi-radicalized	0.23	neutral
0	3851	semi-radicalized	0.82	harmful
0	1068	semi-radicalized	0.14	neutral
0	2306	semi-radicalized	0.93	harmful
0	1065	semi-radicalized	0.16	neutral
0	5174	semi-radicalized	0.82	harmful
0	6482	semi-radicalized	0.06	neutral
0	9366	semi-radicalized	0.2	neutral
0	5402	semi-radicalized	0.17	neutral
0	3985	semi-radicalized	0.2	neutral
0	7658	semi-radicalized	0.18	neutral
0	1894	semi-radicalized	0.1	neutral
0	2698	semi-radicalized	0.15	neutral
0	4984	semi-radicalized	0.01	neutral
0	283	semi-radicalized	0.15	neutral
0	2495	semi-radicalized	0.14	neutral
1	7405	semi-radicalized	0.91	harmful
1	7006	semi-radicalized	0.95	harmful
1	1020	semi-radicalized	0.94	harmful
1	5174	semi-radicalized	0.82	harmful
1	22	semi-radicalized	0.05	neutral
1	4447	semi-radicalized	0.16	neutral
1	6383	semi-radicalized	0.08	neutral
1	1023	semi-radicalized	0.95	harmful
1	8252	semi-radicalized	0.03	neutral
1	9644	semi-radicalized	0.21	neutral
1	8765	semi-radicalized	0.88	harmful
1	8753	semi-radicalized	0.04	neutral
1	3627	semi-radicalized	0.17	neutral
1	4728	semi-radicalized	0.21	neutral
1	3587	semi-radicalized	0.08	neutral
1	1635	semi-radicalized	0.2	neutral
1	8095	semi-radicalized	0.2	neutral
1	5271	semi-radicalized	0.19	neutral
1	7872	semi-radicalized	0.23	neutral
1	4396	semi-radicalized	0.01	neutral
1	1022	semi-radicalized	0.13	neutral
1	1219	semi-radicalized	0.17	neutral
